ds_id,att_name,distinct_count_with_nan,distinct_count_without_nan,type,n,count,distinct_count,n_unique,p_missing,n_missing,is_unique,mode,p_unique,memory_size,mean,std,variance,min,max,kurtosis,skewness,sum,mad,n_zeros,p_infinite,n_infinite,range,5%,25%,50%,75%,95%,iqr,cv,p_zeros
1,carbon,10,10,Variable.TYPE_NUM,898,898,10,10,0.0,0,False,0.0,0.011135857461024499,7184,3.6347438752783963,13.716844935904266,188.15183499564253,0.0,70.0,12.583838339967727,3.7523244435905485,3264.0,0.0,821,0.0,0,70.0,0.0,0.0,0.0,0.0,45.0,0.0,3.773813343272681,0.9142538975501113
1,hardness,7,7,Variable.TYPE_NUM,898,898,7,7,0.0,0,False,0.0,0.0077951002227171495,7184,11.776169265033408,24.75052807387436,612.5886399356428,0.0,85.0,1.8665480465649469,1.8307666601359773,10575.0,0.0,721,0.0,0,85.0,0.0,0.0,0.0,0.0,70.0,0.0,2.101746970244839,0.8028953229398663
1,strength,8,8,Variable.TYPE_NUM,898,898,8,8,0.0,0,False,0.0,0.008908685968819599,7184,30.66815144766147,114.95624250704856,13214.937691339357,0.0,700.0,13.215477213878707,3.761601968915701,27540.0,0.0,834,0.0,0,700.0,0.0,0.0,0.0,0.0,310.0,0.0,3.748391640208047,0.9287305122494433
1,thick,50,50,Variable.TYPE_NUM,898,898,50,50,0.0,0,False,0.7,0.0556792873051225,7184,1.1985489977728285,0.8712082809718925,0.7590038688340001,0.24,4.0,1.4079394412634705,1.4786960126691298,1076.297,0.30000000000000004,0,0.0,0,3.76,0.3,0.601,0.8,1.6,3.2,0.9990000000000001,0.7268858282730134,0.0
1,width,68,68,Variable.TYPE_NUM,898,898,68,68,0.0,0,False,610.0,0.0757238307349666,7184,780.6533407572383,405.34568796306917,164305.12675025384,0.0,1525.0,-0.9723842038435491,0.0729904844208326,701026.7,254.0,2,0.0,0,1525.0,50.0,609.9,610.0,1250.0,1320.0,640.1,0.5192390358182307,0.0022271714922048997
1,len,24,24,Variable.TYPE_NUM,898,898,24,24,0.0,0,False,0.0,0.026726057906458798,7184,1263.0946547884187,1871.399107266592,3502134.6186781973,0.0,4880.0,-0.21327222657226397,1.265515976699349,1134259.0,611.0,417,0.0,0,4880.0,0.0,0.0,611.0,762.0,4880.0,762.0,1.4815984694195943,0.4643652561247216
6,x-box,16,16,Variable.TYPE_NUM,20000,20000,16,16,0.0,0,False,4.0,0.0008,160000,4.02355,1.9132115451305487,3.660378416420822,0.0,15.0,0.88292776509028,0.7150563042044469,80471.0,1.0,132,0.0,0,15.0,1.0,3.0,4.0,5.0,7.0,2.0,0.47550336024917017,0.0066
6,y-box,16,16,Variable.TYPE_NUM,20000,20000,16,16,0.0,0,False,9.0,0.0008,160000,7.0355,3.3045553035601802,10.920085754287715,0.0,15.0,-0.42117882211655644,-0.2279666191955935,140710.0,2.0,709,0.0,0,15.0,1.0,5.0,7.0,9.0,12.0,4.0,0.46969729280934974,0.03545
6,width,16,16,Variable.TYPE_NUM,20000,20000,16,16,0.0,0,False,5.0,0.0008,160000,5.12185,2.0145732805671623,4.058505502775138,0.0,15.0,0.3041816484542599,0.23494124711102035,102437.0,1.0,195,0.0,0,15.0,2.0,4.0,5.0,6.0,9.0,2.0,0.3933292229501376,0.00975
6,high,16,16,Variable.TYPE_NUM,20000,20000,16,16,0.0,0,False,6.0,0.0008,160000,5.37245,2.261390433303058,5.113886691834591,0.0,15.0,-0.24943424086251342,-0.27824944356483233,107449.0,2.0,365,0.0,0,15.0,1.0,4.0,6.0,7.0,8.0,3.0,0.4209234954821465,0.01825
