dataset id~attribute name~number distinct values~percentage distinct values~percentage missing values~mean~standard deviation~minimum value~maximum value~range~coefficient of variance
ca.pcpartpicker.com~display colors~6~0.008426966292134831~0.3174157303370787~109904362.1399177~299494555.5918837~16000000.0~1073000000.0~1057000000.0~2.7250470296220035
www.cleverboxes.com~factory presets~7~0.014925373134328358~0.9680170575692963~23.8~3.299350585450762~16.0~30.0~14.0~0.13862817585927573
www.ebay.com~ean~34~0.007942069609904227~0.9920579303900958~6372587492746.177~2794139146183.145~683728208974.0~8806085649040.0~8122357440066.0~0.43846226503185287
www.ebay.com~total number of usb ports~5~0.00116795141322121~0.9988320485867788~6.8~5.540758070878027~2.0~15.0~13.0~0.8148173633644158
www.hardware-planet.it~numero di lingue osd~10~0.03278688524590164~0.7836065573770492~12.272727272727273~3.4886429124559837~8.0~27.0~19.0~0.2842597928667838
www.hardware-planet.it~quantità porte usb 20~5~0.01639344262295082~0.8327868852459016~2.3137254901960786~1.2568245076928024~1.0~5.0~4.0~0.5432038126468891
www.hardware-planet.it~quantità porte usb 30~6~0.019672131147540985~0.940983606557377~3.1666666666666665~1.3826657968874303~1.0~6.0~5.0~0.43663130428024116
www.makingbuyingeasy.co.uk~usb 20 ports quantity~5~0.008291873963515755~0.691542288557214~2.1344086021505375~1.3981450741457537~1.0~5.0~4.0~0.6550503370053153
www.makingbuyingeasy.co.uk~usb 30 ports quantity~5~0.008291873963515755~0.9137645107794361~3.4615384615384617~1.5270314462077692~1.0~5.0~4.0~0.44114241779335556
www.mediashopuk.com~usb 20 ports quantity~6~0.03409090909090909~0.7897727272727273~2.7837837837837838~1.4745081126172803~1.0~6.0~5.0~0.5296776715227124
www.mrhightech.com~usb 20 ports quantity~6~0.03409090909090909~0.7897727272727273~2.7837837837837838~1.4745081126172803~1.0~6.0~5.0~0.5296776715227124
www.nexus-t.co.uk~ean~126~0.9264705882352942~0.07352941176470584~4523726046079.135~352493635580.2825~4038986121798.0~5397063213634.0~1358077091836.0~0.07792108363542495
www.nexus-t.co.uk~upc~53~0.3897058823529412~0.6102941176470589~942831732754.3208~532519096055.7971~610839331581.0~4718755045295.0~4107915713714.0~0.564808202307886
www.officedepot.com~item ~235~1.0~0.0~587435.5659574468~231450.69212927078~101107.0~988553.0~887446.0~0.39400183703898656
www.planet-computer.it~numero di lingue osd~9~0.04736842105263158~0.7315789473684211~12.411764705882353~5.29972252325812~7.0~22.0~15.0~0.42699186206345047
www.planet-computer.it~quantità porte usb 20~5~0.02631578947368421~0.7631578947368421~2.7777777777777777~1.0420453856999634~1.0~5.0~4.0~0.37513633885198683
www.shopmania.com~synchronization range  horizontal~10~0.09259259259259259~0.4444444444444444~85.58333333333333~12.131052278286955~79.0~140.0~61.0~0.1417454988699547
www.shopmania.com~synchronization range  vertical~7~0.06481481481481481~0.6574074074074074~82.8108108108108~20.316711563852277~61.0~144.0~83.0~0.24533887985069655
www.vology.com~swivel angle~10~0.01893939393939394~0.7878787878787878~203.0~132.14713339632027~45.0~360.0~315.0~0.6509711004744841
www.xpcpro.com~number of osd languages~12~0.03908794788273615~0.8110749185667753~13.448275862068966~5.490573784584681~8.0~27.0~19.0~0.40827343526398907
